iter	Passed	Remaining
0	11	4760
1	16	3632
2	25	3679
3	32	3520
4	40	3443
5	46	3274
6	51	3109
7	59	3144
8	64	3046
9	72	3070
10	78	3015
11	84	2934
12	91	2945
13	97	2907
14	104	2895
15	111	2893
16	119	2913
17	125	2877
18	130	2827
19	138	2837
20	143	2798
21	149	2773
22	155	2761
23	160	2727
24	168	2732
25	173	2705
26	178	2676
27	185	2676
28	192	2671
29	203	2715
30	208	2693
31	215	2689
32	222	2678
33	227	2661
34	235	2668
35	241	2648
36	248	2648
37	253	2623
38	258	2602
39	266	2608
40	272	2590
41	278	2581
42	284	2563
43	289	2547
44	296	2544
45	301	2527
46	307	2511
47	314	2508
48	321	2503
49	328	2500
50	333	2488
51	339	2471
52	347	2477
53	353	2470
54	361	2472
55	367	2457
56	372	2442
57	379	2441
58	384	2426
59	391	2417
60	396	2405
61	401	2391
62	409	2391
63	414	2377
64	419	2362
65	427	2361
66	433	2354
67	440	2350
68	446	2339
69	451	2327
70	458	2324
71	463	2313
72	469	2300
73	476	2298
74	481	2286
75	488	2283
76	494	2271
77	499	2259
78	505	2254
79	512	2247
80	517	2236
81	523	2230
82	530	2223
83	537	2221
84	542	2210
85	548	2199
86	555	2194
87	560	2185
88	566	2176
89	573	2171
90	579	2164
91	588	2167
92	594	2160
93	602	2160
94	609	2154
95	617	2153
96	622	2144
97	629	2137
98	637	2136
99	643	2130
100	670	2191
101	693	2235
102	701	2234
103	708	2226
104	716	2223
105	722	2216
106	735	2226
107	746	2233
108	755	2231
109	762	2224
110	768	2214
111	773	2204
112	781	2198
113	786	2187
114	793	2181
115	799	2170
116	804	2159
117	811	2153
118	817	2142
119	822	2131
120	830	2128
121	835	2116
122	842	2109
123	848	2100
124	853	2089
125	860	2082
126	867	2076
127	874	2069
128	879	2059
129	885	2049
130	893	2045
131	898	2035
132	904	2026
133	912	2021
134	917	2011
135	924	2005
136	929	1995
137	935	1986
138	942	1979
139	947	1970
140	954	1963
141	960	1954
142	966	1945
143	973	1939
144	981	1935
145	990	1932
146	997	1926
147	1006	1923
148	1011	1914
149	1018	1907
150	1024	1899
151	1030	1891
152	1038	1886
153	1044	1878
154	1052	1874
155	1058	1866
156	1065	1859
157	1072	1852
158	1078	1844
159	1085	1838
160	1092	1832
161	1098	1824
162	1104	1816
163	1110	1808
164	1117	1801
165	1123	1793
166	1128	1784
167	1135	1777
168	1141	1768
169	1148	1763
170	1157	1759
171	1166	1756
172	1174	1751
173	1182	1747
174	1190	1741
175	1199	1737
176	1206	1730
177	1213	1725
178	1221	1719
179	1229	1714
180	1236	1708
181	1244	1702
182	1251	1696
183	1260	1691
184	1267	1685
185	1274	1678
186	1282	1672
187	1289	1666
188	1298	1662
189	1305	1656
190	1315	1653
191	1322	1646
192	1330	1640
193	1337	1633
194	1345	1628
195	1352	1621
196	1361	1617
197	1368	1610
198	1376	1604
199	1383	1597
200	1392	1592
201	1399	1586
202	1407	1580
203	1414	1574
204	1422	1568
205	1429	1561
206	1438	1556
207	1445	1550
208	1454	1544
209	1461	1538
210	1470	1533
211	1478	1527
212	1486	1521
213	1494	1515
214	1507	1514
215	1515	1508
216	1526	1505
217	1535	1500
218	1541	1492
219	1555	1491
220	1564	1487
221	1573	1481
222	1583	1477
223	1590	1470
224	1601	1466
225	1611	1461
226	1621	1457
227	1627	1448
228	1635	1442
229	1641	1434
230	1648	1427
231	1654	1419
232	1661	1412
233	1669	1405
234	1678	1399
235	1684	1392
236	1692	1385
237	1703	1381
238	1712	1375
239	1717	1367
240	1723	1358
241	1731	1351
242	1736	1343
243	1745	1337
244	1752	1330
245	1759	1323
246	1765	1314
247	1771	1306
248	1778	1299
249	1784	1291
250	1790	1283
251	1797	1277
252	1803	1268
253	1809	1261
254	1816	1253
255	1824	1247
256	1830	1239
257	1837	1231
258	1844	1224
259	1850	1217
260	1857	1209
261	1864	1202
262	1870	1194
263	1877	1187
264	1882	1179
265	1890	1172
266	1895	1164
267	1902	1157
268	1909	1149
269	1914	1141
270	1921	1134
271	1928	1127
272	1937	1121
273	1946	1115
274	1955	1109
275	1964	1103
276	1974	1097
277	1984	1092
278	1992	1085
279	2002	1080
280	2010	1073
281	2019	1067
282	2026	1059
283	2034	1053
284	2041	1045
285	2049	1039
286	2055	1031
287	2061	1023
288	2070	1017
289	2075	1009
290	2084	1002
291	2090	995
292	2097	988
293	2103	980
294	2109	972
295	2117	965
296	2124	958
297	2132	951
298	2138	943
299	2144	936
300	2150	928
301	2156	921
302	2163	914
303	2169	906
304	2176	899
305	2183	891
306	2188	883
307	2196	876
308	2201	869
309	2207	861
310	2214	854
311	2219	846
312	2230	840
313	2238	834
314	2244	826
315	2250	818
316	2256	811
317	2264	804
318	2269	796
319	2276	789
320	2283	782
321	2290	775
322	2297	768
323	2303	760
324	2310	753
325	2315	745
326	2322	738
327	2331	732
328	2353	729
329	2369	725
330	2387	721
331	2394	713
332	2399	706
333	2406	698
334	2411	691
335	2420	684
336	2426	676
337	2437	670
338	2444	663
339	2451	656
340	2458	648
341	2466	641
342	2483	637
343	2493	630
344	2527	629
345	2547	625
346	2579	624
347	2597	619
348	2604	611
349	2614	605
350	2621	597
351	2632	590
352	2640	583
353	2651	576
354	2658	569
355	2664	561
356	2671	553
357	2678	546
358	2685	538
359	2692	531
360	2698	523
361	2705	515
362	2713	508
363	2719	500
364	2727	493
365	2733	485
366	2741	478
367	2748	470
368	2755	462
369	2761	455
370	2767	447
371	2775	440
372	2781	432
373	2787	424
374	2794	417
375	2803	410
376	2811	402
377	2817	395
378	2824	387
379	2830	379
380	2838	372
381	2844	364
382	2850	357
383	2859	349
384	2866	342
385	2876	335
386	2883	327
387	2891	320
388	2900	313
389	2907	305
390	2919	298
391	2925	291
392	2934	283
393	2940	276
394	2948	268
395	2959	261
396	2968	254
397	2976	246
398	2992	239
399	3005	232
400	3023	226
401	3038	219
402	3053	212
403	3059	204
404	3071	197
405	3078	189
406	3085	181
407	3091	174
408	3099	166
409	3105	159
410	3114	151
411	3120	143
412	3128	136
413	3136	128
414	3146	121
415	3152	113
416	3159	106
417	3165	98
418	3171	90
419	3179	83
420	3186	75
421	3194	68
422	3200	60
423	3208	52
424	3216	45
425	3226	37
426	3234	30
427	3244	22
428	3252	15
429	3261	7
430	3268	0
